epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,706.693,0.60878,0.31513,0.92957,0.98705,0.99417,0.9889,0.81014,0.80424,0.28849,0.99243,0.0001585,0.0001585,0.0001585
70,717.098,0.59693,0.3101,0.92806,0.98657,0.99449,0.98972,0.8085,0.82666,0.29039,0.99742,0.000146125,0.000146125,0.000146125
71,727.994,0.55685,0.25802,0.90381,0.98757,0.99417,0.98896,0.80324,0.81847,0.28608,0.99724,0.00013375,0.00013375,0.00013375
72,738.222,0.53371,0.24792,0.88525,0.9889,0.99417,0.98924,0.81141,0.82668,0.2876,1.00238,0.000121375,0.000121375,0.000121375
73,748.53,0.53183,0.24431,0.88717,0.9881,0.99344,0.98946,0.80721,0.81373,0.28658,0.99303,0.000109,0.000109,0.000109
74,758.741,0.54031,0.24443,0.89163,0.98765,0.99417,0.99072,0.81609,0.81526,0.28517,0.99507,9.6625e-05,9.6625e-05,9.6625e-05
75,768.942,0.52066,0.24192,0.89055,0.97932,0.99672,0.99047,0.81285,0.816,0.28794,0.99695,8.425e-05,8.425e-05,8.425e-05
76,779.144,0.51576,0.23682,0.88002,0.98755,0.99332,0.99038,0.81239,0.80764,0.28337,0.99414,7.1875e-05,7.1875e-05,7.1875e-05
77,789.372,0.51495,0.23678,0.88165,0.9855,0.99517,0.99025,0.81338,0.81964,0.28365,0.99973,5.95e-05,5.95e-05,5.95e-05
78,799.639,0.49801,0.23111,0.86411,0.98735,0.99443,0.98939,0.81175,0.81764,0.28172,1.00104,4.7125e-05,4.7125e-05,4.7125e-05
79,809.854,0.49744,0.23154,0.87601,0.9877,0.99417,0.98953,0.81533,0.8146,0.28496,0.99807,3.475e-05,3.475e-05,3.475e-05
80,820.017,0.49582,0.22826,0.87378,0.98764,0.99417,0.98937,0.81526,0.81258,0.28206,0.99647,2.2375e-05,2.2375e-05,2.2375e-05
